Title,Category,Article_url,Article
California Gov. Gavin Newsom pushes COVID-19 vaccination efforts as cases increase across US,politics,https://abcnews.go.com/Politics/california-gov-gavin-newsom-pushes-covid-19-vaccination/story?id=76858713,"California Gov. Gavin Newsom patiently waited for the day that all Californians 50 and older became eligible for a COVID-19 vaccination, and on Thursday he received a dose of Johnson & Johnson vaccine. Newsom told ABC News' Zohreen Shah- in an exclusive interview that he was thrilled to be ""one and done,"" as he recalled the first vaccine administered in Southern California, to nurse Helen Cordova, on Dec. 14. ""Eighteen million doses later, it's finally my turn,"" he said. ""Today we're making it eligible for everyone 50 and over. In two weeks, everybody 16 and over. We have that supply now."" Newsom received his vaccine in hard-hit south Los Angeles to emphasize vaccine equity in a community that's suffered immensely throughout the coronavirus pandemic. According to data from the Centers for Disease Control and Prevention, California has reported more coronavirus cases -- more than 3.57 million -- and virus-related deaths -- 58,269 -- than any other state. In Los Angeles County, residents identifying as Hispanic of Latino have accounted for approximately 53% of COVID-19-related deaths despite accounting for 48.6% of the population. ""This is why all our work has to be focused, mindful of the issue of equity, not just as a platform, not just as a promotion, not just as a promise,"" Newsom said. ""It's tough. It's gritty work. It's hard. It's stubborn. We know that as it relates to the issue of testing. Seven, eight months ago, that was our biggest issue -- equity on testing and access to testing opportunities. Now it's the same with vaccines."" Last month, the CDC issued a report that measured county's vaccine rollouts with regards to ""social vulnerability."" The vulnerability index included several factors, including race, education, poverty level and housing, which the agency noted has also been linked to higher coronavirus rates. The report examined roughly 49 million shots distributed between Dec. 14 and March 1. Of the 48 states surveyed, California ranked 44th when it came to vaccinations among residents in the most socially vulnerable counties. To date, California has delivered nearly 19.5 million doses of COVID-19 vaccine, more than any other state. However, it ranks 30th for vaccines administered per 100,000 people. Newsom also added that getting children back to school will be of critical importance in returning to ""normal,"" especially children in minority communities that have been among the hardest hit during the pandemic. ""We have a unique moral responsibility to address systemically, once and for all, not just as a state, but I expect as a nation,"" he added. As California takes step to ease restrictions, coronavirus cases, hospitalizations and deaths across the state have all declined significantly after peaking earlier this year. Since mid-January, the state's seven-day average of cases has declined by over 94%. But other states have seen surges recently -- two dozen have seen cases increase by at least 10% over the last week while 18 also have seen 10% increases in reported hospital admissions. And cases are increasing elsewhere. In France, for instance, said Newsom, schools and businesses are closing once more because of the virus's mutations and community spread. ""We have to be mindful this disease is not going away. It's not disappeared. It's as virulent. It's as deadly as it's ever been,"" Newsom said. Newsom also addressed the mounting controversy over his handling of the pandemic, which has resulted in an attempted recall election. ""I don't think it advantages the state of California,"" he said. ""Forget the Democratic Party. Forget the current occupant that happens to be the current governor. And so, for me, this is really an assault on California -- California values -- and I hope we can stay united."""
"
                ",politics,https://abcnews.go.com/Politics/video/blinken-reveals-latest-report-status-human-rights-worldwide-76774665,
"Fake German heiress taken into US custody, faces deportation",lifestyle,https://abcnews.go.com/Lifestyle/wireStory/fake-german-heiress-us-custody-faces-deportation-76821010,"NEW YORK -- U.S.   authorities said Thursday they have detained Anna Sorokin, the con artist who passed herself off as a wealthy German heiress and served more than three years behind bars for defrauding New York banks and hotels. Sorokin, who finagled her way into the Manhattan elite using the name Anna Delvey, remained in New Jersey's Bergen County Jail days after she was scheduled to be deported to her native Germany. The 30-year-old was taken into U.S. Immigration and Customs Enforcement custody on March 25, agency spokesperson Marcus Johnson told The Associated Press. The delay could mean the one-time darling of New York's social scene is challenging her deportation, which has been in the works since she was         convicted in 2019 on multiple counts of larceny and theft. ICE declined to comment on Sorokin’s   proceedings. Sorokin's attorney also declined to discuss the case. A message seeking comment was left with the German embassy in Washington. Prosecutors said Sorokin falsified records and         defrauded financial institutions and Manhattan celebrities into believing she had a fortune of $67 million (60 million euros) overseas that could cover her high-end clothing and lavish hotel stays. Among other lies, she claimed her father — a former trucker who runs a heating-and-cooling business — was a diplomat or an oil baron. Her ruse included an application for a $22 million loan to fund a private arts club, complete with exhibitions, installations and pop-up shops, prosecutors said. She was denied that loan but persuaded one bank to lend her $100,000 that she failed to repay. In all, prosecutors accused her of stealing some $275,000. Sorokin, who became known as the “Soho Grifter,” was sentenced to four to 12 years in prison after a trial that drew international media attention. She         was released from prison in February. In a recent interview with the BBC, she suggested her audacious fraud had paid off, noting she is writing a book and working on several other projects. “I am trying to turn the attention I am getting into something positive,” she said. ——— Associated Press writer Michael R. Sisak contributed to this report."
Blinken swipes at Trump administration in unveiling human rights report,politics,https://abcnews.go.com/Politics/blinken-swipes-trump-administration-unveiling-human-rights-report/story?id=76770342,"Secretary of State Antony Blinken repudiated the Trump administration's approach to human rights, with his most direct condemnation of his predecessor yet. Blinken launched the department's 45th annual human rights report Tuesday -- the gold standard in documenting abuses and atrocities in nearly 200 countries and territories around the world. The report, which covers 2020, found a further deterioration for human rights in many countries, particularly as governments used the   pandemic to curb their citizens' rights. The first report under the Biden administration also   that eliminated   of the Trump years, like ending former Secretary of State Mike Pompeo's ""hierarchy"" of rights and re-introducing a section on women's reproductive rights that will be published later this year. When human rights defenders ""come under attack, they often look to the United States to speak up on their behalf. Too often in recent years, these defenders heard only silence from us,"" Blinken said. ""We are back for those brave advocates as well. We will not be silent."" In particular, Blinken ""decisively"" repudiated Pompeo's ""Unalienable Rights Commission,"" a panel of academics that said in a report last July that freedom of religion and right to property were the most important human rights. While Pompeo touted the report and said it would lay a foundation for future administrations, critics accused it of minimizing minority rights. Blinken essentially jettisoned the report, saying Tuesday, ""There is no hierarchy that makes some rights more important than others. Past unbalanced statements that suggest such a hierarchy, including those offered by a recently disbanded State Department advisory committee, do not represent a guiding document for this administration."" Human rights are increasingly under threat around the world, Blinken said, saying the trendlines ""are in the wrong direction."" In particular, he highlighted what he called the Chinese   of Uighurs and other Muslim ethnic minorities in Xinjiang province, attacks on civil society and   in Russia, Uganda and Venezuela and on pro-democracy protesters in Belarus,   in Yemen, atrocities ""credibly reported"" in Ethiopia's Tigray region, and abuses by the Syria's Bashar al-Assad's regime. While the report doesn't touch on Myanmar's coup and the military's bloody  , because they happened in 2021, Blinken took time to again condemn the events. But after weeks of steadily increasing U.S. sanctions that have not deterred the ruling junta, he had no specific answer on what else the U.S. could do to change the darkening trajectory there. Blinken also leaned into America's own human rights issues, particularly the moment of racial reckoning in the last year. Chinese officials and state-run outlets   U.S. race relations to say American officials are in no position to criticize Beijing -- comparing Uighur slave labor in Xinjiang to Black slaves in the U.S. South. ""We know we have work to do at home. That includes addressing profound inequities, including systemic racism. We don't pretend these problems don't exist. ... We deal with them in the daylight with full transparency, and in fact, that's exactly what separates our democracy and autocracies,"" he said, adding that open reckoning gives the U.S. ""greater legitimacy"" to address other countries' records, too. The Biden administration will use all tools available to impose consequences on human rights abusers and encourage better behavior, Blinken said,   Khashoggi policy that imposes visa restrictions on officials that target or harass their countries' dissidents. ""Standing up for human rights everywhere is in America's interests, and the Biden-Harris administration will stand against human rights abuses wherever they occur, regardless of whether the perpetrators are adversaries or partners,"" he said."
"
                ",politics,https://abcnews.go.com/Politics/video/south-carolina-voters-grade-bidens-presidency-76781298,
Civil rights groups sue Georgia over new voting law,politics,https://abcnews.go.com/Politics/civil-rights-group-sue-georgia-voting-law/story?id=76775186,"Civil rights groups on Tuesday said they have sued the state of Georgia over   enacted last week that they said   for all Georgia  , particularly people of color. In a joint press release Tuesday, the American Civil Liberties Union, the NAACP Legal Defense and Educational Fund, the Southern Poverty Law Center and law firms in the state said that the law was a direct response to the 2020 presidential   and Senate runoff election, where the state had   and Democrats won the state. The groups are suing in federal court on behalf of a church and other community groups. ""The elections were celebrated not just for their turnout, but also for their integrity, with Georgia officials praising them as safe and secure,"" the release said. ""But rather than act to expand participation in the political process, Georgia leaders responded by doing what they have done many times in the state's history: they placed burdensome, unjustified, and unnecessary restrictions on voters, particularly voters of color and other historically disenfranchised communities."" Sophia Lakin, deputy director of the ACLU's Voting Rights Project, pinned the motives of the law on race. ""This law is driven by blatant racism, represents politics at its very worst, and is clearly illegal,"" Lakin said in the statement. ""We urge the court to act swiftly to strike it down."" Georgia's Republican Gov. Brian Kemp defended the law from criticism last week, saying that critics -- including President Joe Biden -- hadn't read the law. ""This bill expands voting access, streamlines vote-counting procedures, and ensures election integrity,"" Kemp said in a tweeted statement. There is nothing 'Jim Crow' about requiring a photo or state-issued ID to vote by absentee ballot -- every Georgia voter must already do so when voting in-person."" Biden   an ""atrocity"" when speaking to reporters last week. In a statement Friday, he likened it to ""Jim Crow"" laws and called on Congress to pass a Democratic-supported federal measure to protect voting rights. ""This is Jim Crow in the 21st Century. It must end. We have a moral and Constitutional obligation to act. I once again urge Congress to pass the For the People Act and the   Voting Rights Advancement Act to make it easier for all eligible Americans access the ballot box and prevent attacks on the sacred right to vote,"" he said in the statement. Prominent Georgia voting rights activist and former gubernatorial candidate Stacey Abrams released a statement about the law shortly after it was passed last week. ""Every business, political, and civic leader must stand up and make their opposition to these desperate anti-democratic laws clear,"" Abrams said. ""At a time when Georgia ranks as the worst state for COVID vaccination rates, Georgia Republicans instead are singularly focused on reviving Georgia's dark past of racist voting laws."""
1st news media allowed inside overcrowded migrant facility under Biden ,politics,https://abcnews.go.com/Politics/1st-news-media-allowed-inside-overcrowded-migrant-facility/story?id=76768789,"The Biden administration for the first time on Tuesday allowed news media inside a Customs and Border Protection facility facing unprecedented overcrowding due to the recent surge of migrant children and families. A growing backlog inflamed by the coronavirus pandemic has caused delays for the Department of Health and Human Services Office of Refugee Resettlement, the agency responsible for housing children after they are apprehended by Border Patrol. Representatives from the press were allowed inside a temporary tent facility in Donna, Texas, which was meant to hold 250 migrants but had a population of more than 4,100 as of Tuesday. Of those, 3,400 were unaccompanied minors and more than 2,000 have waited beyond the legal limit of 72 hours, according to Customs and Border Protection. The video shows children and families packed into tight living quarters, sleeping on gray camping mats with mylar blankets for warmth. In transparent, plastic pods there is hardly room to walk with young children crammed shoulder to shoulder. Journalists also saw a fenced in recreation area where two groups of boys were playing soccer, agents in dark sunglasses watching over them. The facility spans 184,000 square feet and requires a staff of more than 500 agents. It takes $16 million per month to run the facility. ""As I have said repeatedly, a Border Patrol facility is no place for a child,"" Homeland Security Secretary Alejandro Mayorkas said in a statement Tuesday. ""We have been working around the clock, in coordination with HHS, to quickly move unaccompanied children out of these crowded Border Patrol stations and into the care of HHS so they can be placed with family members or other sponsors."" Earlier Tuesday morning, U.S. Border Patrol took a small group of journalists along dirt roads near the borderline, where they observed the arrest of migrants who had surrendered to authorities prior to their likely transfer to the Donna processing center. All unaccompanied children who are apprehended in the Rio Grande Valley are brought to the Donna facility where they receive a health screening and wait to be transferred to the Office of Refugee Resettlement. CBP also takes temperatures as they arrive and refers them to additional health checks if they have a fever. Acting Executive Officer for Rio Grande Valley Operational Programs Division Oscar Escamilla showed reporters through the facility on Tuesday. ""Yes we are officers. Yes we enforce the   laws,"" Escamilla said. ""But when you have kids involved, we have to take care of these kids. This is not the right place for these kids."" Escamilla said children are offered the opportunity to call family members at least once every 48 hours while they are in the facility. The new administration took swift actions right from the start to reverse several immigration policies of the Trump era. While the new White House has come under fire for pulling back hard-line restrictions before it was fully prepared to handle the current surge of migrants, some remain in place. Biden administration officials are quick to point out one major departure from Trump’s pandemic-era immigration restrictions: the treatment of unaccompanied migrant children. When the Trump administration invoked a section of the public health code known as ""Title 42"" it gave immigration authorities the green light to start rapidly removing unaccompanied migrant children. Mostly in their teens, kids at the time were sent back to Mexico sometimes within a matter of hours. Customs and Border Protection said it was necessary to reduce overcrowding at its facilities. Legal advocates for immigrants have decried the use of Title 42 as illegal and unnecessarily cruel. Meanwhile, the Biden administration has taken on the responsibility of processing and caring for children who arrive at the border without a parent or guardian. The change, combined with an unprecedented increase in the number of kids found crossing the border, has strained government resources and sent the Biden administration scrambling to find more shelter space. Federal officials have enlisted convention centers in California and Texas, and even co-opted a NASA site for the mass housing effort. The difference in the application of the Title 42 so-called health mandates is also seen with migrant families who cross the border. Thousands have been turned back or ""expelled"" under the Biden administration, but the majority in recent weeks have remained in the U.S. for traditional immigration processing. Last February, nearly 20,000 migrant families were stopped at the border by U.S. immigration authorities. Of those, nearly 8,000 were rapidly ""expelled"" under Title 42. U.S. officials have said immigration officials on the other side of the border, in the Mexican state of Tamaulipas, have refused to accept families with children under the age of 7."
SolarWinds cyberhack gained access to then-acting DHS chief's emails: Sources,politics,https://abcnews.go.com/Politics/solarwinds-cyberhack-gained-access-acting-dhs-chiefs-emails/story?id=76766289,"Authorities believe that the massive   allegedly carried out by Russia last year successfully breached the email accounts of then-DHS acting secretary Chad Wolf and dozens of other officials at the Department of Homeland Security, three sources familiar with the matter told ABC News. In fact, the email accounts of top officials at Cybersecurity and Infrastructure Security Agency -- the very DHS agency charged with fighting cyber threats -- may have been compromised by the cyberattack, according to one former government official familiar with the matter. In a statement, DHS acknowledges a ""small number"" of employees accounts were targeted in the breach, but there are no indicators that their networks are compromised as of now. ""A widespread intrusion campaign targeted many federal government and private sector entities, including DHS,"" according to a DHS spokesperson. ""Upon learning about the campaign, the Department took immediate steps to respond to the incident, including leveraging response teams from CISA and private sector partners, to continue executing its mission,"" the spokesperson said. ""However, this widespread intrusion campaign has again shown that our strategic adversaries are sophisticated, persistent, and have increasing capabilities.” The massive hack, discovered in December, affected nine federal agencies, according to Deputy National Security Adviser for cyber Anne Neuberger. Those responsible were ""likely of Russian origin,"" that the hack was ""launched from inside the United States” and that it could take ""several months"" to complete the investigation, she said at a press briefing in February. The administration has yet to outline what exactly their response will be to the hack. FBI Director Chris Wray, asked earlier this month by Senate Judiciary Chairman Sen. Dick Durbin, D-Ill., what the U.S. government's response should be to the SolarWinds hack, said he didn't want to answer specifically because ""discussing the response in any detail is probably something that would be better done in a classified setting. That by itself might give you a little bit of a hint."" Wray said more generally that coming back from the SolarWinds hack would be a ""long, hard slog,"" even using the strategy that has been most effective for the U.S. in the past regarding countering cyber adversaries."
Can I still spread the coronavirus after I'm vaccinated?,lifestyle,https://abcnews.go.com/Lifestyle/wireStory/spread-coronavirus-vaccinated-76806052,"NEW YORK -- Can I still spread the   after I’m vaccinated? It’s possible. Experts say the risk is low, but are still studying how well the shots blunt the spread of the virus. The current   are highly effective at preventing people from getting seriously sick with COVID-19. But even if vaccinated people don’t get sick, they might still get infected without showing any symptoms. Experts think the vaccine would also curb the chances of those people spreading the virus. “A vaccinated person controls the virus better, so the chances of transmitting will be greatly reduced,” said Dr. Robert Gallo a virus expert at the University of Maryland School of Medicine. Among the evidence so far: Studies suggesting if people do get infected despite vaccination, they harbor less coronavirus in the nose than the unvaccinated. That makes it harder to spread. Trying to settle the question, the U.S. is starting a study of college students willing to undergo daily nasal swab testing. Given the uncertainty and the arrival of more contagious variants, experts say fully vaccinated people should continue to wear masks and social distance in public and when visiting with unvaccinated people at high risk for severe illness if infected. “We still have to be cautious,” Gallo said. “The vaccine is essential. But it is not a cure-all that ends the epidemic tomorrow.” Other factors can also affect the likelihood of a vaccinated person spreading the virus, including vaccination rates in the community and whether there’s an ongoing surge in cases locally. “We want to think it’s all or none, but it’s very situation-specific,” said Dr. Laraine Lynn Washer, an infectious disease expert at the University of Michigan. —— The AP is answering your questions about the coronavirus in         this series. Submit them at: FactCheck@AP.org. Read previous Viral Questions: I got the COVID-19 vaccine. What can I safely do? Will the coronavirus ever go away? When will children be able to get COVID-19  ?"
Vaccine passport efforts draw opposition from GOP lawmakers,lifestyle,https://abcnews.go.com/Lifestyle/wireStory/vaccine-passport-efforts-draw-opposition-gop-lawmakers-76852995,"HARRISBURG, Pa. -- Vaccine passports being developed to verify COVID-19 immunization status and allow inoculated people to more freely travel, shop and dine have become the latest flash point in America’s perpetual political wars, with Republicans portraying them as a heavy-handed intrusion into personal freedom and private   choices. They currently exist in only one state — a limited government partnership in New York with a private company — but that hasn’t stopped GOP lawmakers in a handful of states from rushing out legislative proposals to ban their use. The argument over whether passports are a sensible response to the pandemic or governmental overreach echoes the bitter disputes over the past year about masks, shutdown orders and even the   themselves. Vaccine passports are typically an app with a code that verifies whether someone has been vaccinated or recently tested negative for COVID-19. They are in use in         Israel  and under development in parts of Europe, seen as a way to safely help rebuild the pandemic-         devastated travel industry. They are intended to allow businesses to more safely open up as the vaccine drive gains momentum, and they mirror measures already in place for schools and overseas travel that require proof of immunization against various diseases. But lawmakers around the country are already taking a stand against the idea. GOP senators in Pennsylvania are drawing up legislation that would prohibit vaccine passports, also known as   certificates or travel passes, from being used to bar people from routine activities. “We have constitutional rights and health privacy laws for a reason,” said Pennsylvania House Majority Leader Kerry Benninghoff, a Republican. “They should not cease to exist in a time of crisis. These passports may start with COVID-19, but where will they end?” Benninghoff said this week his concern was “using taxpayer money to generate a system that will now be, possibly, in the hands of mega-tech organizations who’ve already had problems with getting hacked and security issues.” A Democratic colleague, Rep. Chris Rabb of Philadelphia, sees value in vaccine passports if they are implemented carefully. “There’s a role for using technology and other means to confirm people’s statuses,” Rabb said. “But we do have concerns around privacy, surveillance and inequitable access.” Republican legislators in other states have also been drafting proposals to ban or limit them. A bill introduced in the Arkansas Legislature on Wednesday would prevent government officials from requiring vaccine passports for any reason, and would ban their use as a condition of “entry, travel, education, employment or services.” The sponsor, Republican state Sen. Trent Garner, called vaccine passports “just another example of the Biden administration using COVID-19 to put regulations or restrictions on everyday Americans.” President Joe Biden's administration has largely taken a hands-off approach on vaccine passports. At a news conference this week, Andy Slavitt, acting administrator of the Centers for Medicare and Medicaid Services, said he considered them a project for the private sector, not the government. He said the government is considering federal guidelines to steer the process surrounding vaccine passports. Among its concerns: Not everyone who would need a passport has a smartphone; passports should be free and in multiple languages; and private health information must be protected. ""There will be organizations that want to use these. There will be organizations that don’t want to use these,” said Dr. Brian Anderson of Mitre, which operates federally funded research centers and is part of a coalition working to develop standards for vaccine certifications to make their use easier across vendors. Anderson noted the Vaccination Credential Initiative is not making recommendations on how — or even if — organizations choose to use the certifications. In Montana, GOP lawmakers this week voted along party lines to advance a pair of bills that would ban discrimination based on vaccine status or possession of an immunity passport, and to prohibit using vaccine status or passports to obtain certain benefits and services. And a freshman Republican state lawmaker in Ohio spoke out about the concept, saying more restrictions or mandates are not the answer to every COVID-19 problem. “Ohioans are encouraged to take the COVID-19 vaccine for the health and well-being of themselves and others,” Rep. Al Cutrona said. “However, a vaccine should not be mandated or required by our government for our people to integrate back to a sense of normalcy.” Republican Florida Gov. Ron         DeSantis on Friday issued an executive order that said no governmental entity can issue a vaccine passport, and businesses in that state can't require them. He said he expected the Legislature to pass a similar law. His order said requiring ""so-called COVID-19 vaccine passports for taking part in everyday life — such as attending a sporting event, patronizing a restaurant, or going to a movie theater — would create two classes of citizens.” U.S. Rep. Marjorie Taylor Greene, R-Georgia, a newly elected member who has embraced and promoted a range of far-right political positions, told her supporters on Facebook earlier this week that “something called a vaccine passport” was a form of “corporate communism” and part of a Democratic effort to control people’s lives. And a GOP lawmaker in Louisiana has teed up a bill to keep the state from including any vaccination information on the Louisiana driver’s license or to make issuance of a driver’s license subject to vaccine status. In         New York, a government-sponsored vaccine passport called the Excelsior Pass is being introduced. A smartphone app, it shows whether someone has been vaccinated or recently tested negative for COVID-19. Democratic Gov. Andrew Cuomo touted the idea as letting an event venue usher, for example, use their own smartphone to scan a concertgoer’s code. New York officials have not released specific details about how the app will work, access someone’s vaccination or testing status or protect a user’s name, date of birth or the location where their code was scanned. The app’s privacy policy says data will be “maintained in a secure manner” and won’t be used for sales or marketing purposes or shared with a third party. But some privacy experts say the public needs more specifics to ensure its information is protected. Albert Fox Cahn, founder and executive director of the Surveillance Technology Oversight Project at the Urban Justice Center, a New York–based civil rights and privacy group, warned the Excelsior Pass creates a new layer of surveillance without sufficient details about how it collects data or protects privacy. ""We basically only have screenshots of the user interface and not much more,” Cahn said of Excelsior Pass. ——— Associated Press writers Andrew Welsh-Huggins in Columbus, Ohio; Marina Villeneuve in Albany, New York; Candice Choi in New York; Andrew DeMillo in Little Rock, Arkansas; Amy Beth Hanson in Helena, Montana; and Melinda Deslatte in Baton Rouge, Louisiana, contributed."
